id,question,options,correct,explanation,subject,chapter,set_name,difficulty,marks,negative_marks,tags,created_by,created_at,updated_at
0000f37c-4035-4cdf-a3de-c43a8cb777fc,35. Which rays are deflected by an electric field?,"[""A) X-rays"",""B) UV-rays"",""C) Gamma rays"",""D) Alpha rays""]",3,Alpha particles carry positive charge.,Physics,Electrostatics,1,,1,0,[],,2026-06-02 17:56:23.468242+00,2026-06-02 17:56:23.468242+00
00040225-07a1-4f8c-969a-91ccbecca9f2,19. The law of octaves was given by:,"[""A) Newlands"",""B) Mendeleev"",""C) Bohr"",""D) Moseley""]",0,John Newlands proposed the law of octaves.,Chemistry,"Periodic Table,Metals & Metallurgy,Hydrogen and The Alkali Metals",1,,1,0,[],,2026-06-02 17:42:51.237422+00,2026-06-02 17:42:51.237422+00
0010417c-34b2-4c1a-ac52-0aadd3a161a8,What is the acceleration due to gravity at the center of the Earth?,"[""A) 9.8 m/s²"",""B) Zero"",""C) 4.9 m/s²"",""D) 19.6 m/s²""]",1,"At Earth's center, gravitational pulls from all directions cancel; net g = 0.",Physics,Sets,3,,1,0,[],,2026-06-04 18:24:10.204772+00,2026-06-04 18:24:10.204772+00
00174f32-53d7-4a19-8b15-62ccb11265ff,"In Paramecium, metabolic activities and genetic information are contained in","[""Micronucleus"",""Macronucleus, Micronucleus"",""Micronucleus, Macronucleus"",""Macronucleus""]",1,Macronucleus controls metabolism while micronucleus carries hereditary information.,Zoology,Paramecium And Plasmodium,1,,1,0,[],,2026-06-01 06:12:53.125821+00,2026-06-01 06:12:53.125821+00
0018a029-7910-4c85-8a9b-9a3f9b803eff,Cell sap is,"[""Slightly acidic"",""Acidic"",""Slightly acidic or neutral"",""Neutral""]",2,Cell sap is generally slightly acidic but may be neutral in some cells.,Botany,Cell bioolgy,1,,1,0,[],,2026-06-01 06:05:23.504372+00,2026-06-01 06:05:23.504372+00
004e26cc-5104-4e1c-90b9-bca898e415ec,"The ratio of equivalent mass of KMnO4 in acidic, basic and neutral medium is","[""A) 1:5:3"",""B) 3:5:1"",""C) 5:1:3"",""D) 3:15:5""]",1,"Equivalent masses are M/5, M/3 and M respectively. Ratio = 1/5 : 1/3 : 1 = 3:5:15.",Chemistry,Volumetric Analysis,1,,1,0,[],,2026-06-02 17:19:01.255321+00,2026-06-02 17:19:01.255321+00
005e0207-4442-4be7-9f6c-f7b25aabe07d,Least blood pressure is at:,"[""Vein"",""Vena cava"",""Aorta"",""Capillary""]",1,Lowest pressure in vena cava.,Zoology,"Respiratory System, Cardiovascular system and Blood",1,,1,0,[],,2026-06-01 06:50:02.649702+00,2026-06-01 06:50:02.649702+00
00859a8c-55ef-4cb2-886e-ad4206466bc8,The gate ideally suited for bit comparison is a:,"[""Two input exclusive NOR gate"",""Two input exclusive OR gate"",""Two input NAND gate"",""Two input NOR gate""]",0,"XNOR outputs HIGH when inputs are equal, making it ideal for bit comparison.",Physics,Modern physics,3,,1,0,[],,2026-06-01 16:42:52.548894+00,2026-06-01 16:42:52.548894+00
00866c0e-6e74-4eb7-bef7-d5c9e1aa2a61,How many nuclei are present in a mature pollen?,"[""One"",""Two"",""Three"",""Four""]",1,Mature pollen grain is usually 2-celled or 3-celled (vegetative + generative). Standard answer: two nuclei.,Botany,Reproduction in flowering Plants,1,,1,0,[],,2026-06-01 06:28:11.668926+00,2026-06-01 06:28:11.668926+00
0096219c-439e-4d19-962d-274e3976e1ae,A source and listener move in the same direction with velocity equal to sound velocity. Change in frequency is:,"[""0%"",""25%"",""50%"",""100%""]",0,Relative speed between source and observer is zero.,Physics,Waves and sound,1,,1,0,[],,2026-06-02 01:58:56.71808+00,2026-06-02 01:58:56.71808+00
00a8cbc8-9ab4-418f-9779-4688b263ea0c,"When dilute HNO3 reacts with copper, the gas produced is:","[""NO2"",""NO"",""N2O"",""NH3""]",1,"Dilute HNO3 + Cu → Cu(NO3)2 + H2O + NO↑ (nitric oxide, colorless). With concentrated HNO3, NO2 (brown gas) is produced instead. The reaction: 8HNO3(dilute) + 3Cu → 3Cu(NO3)2 + 4H2O + 2NO. NO immediately oxidizes to NO2 in air.",CHEMISTRY,Sets,1,,1,0,[],,2026-06-02 18:29:20.2447+00,2026-06-02 18:29:20.2447+00
00bad506-c23c-4587-92dd-349c43839725,25. Beryllium shows diagonal relationship with:,"[""A) Mg"",""B) Al"",""C) Si"",""D) Li""]",1,Be and Al have similar charge/radius ratios and show diagonal relationship.,Chemistry,Inorganic,Set-1,,1,0,[],,2026-05-30 10:57:09.292008+00,2026-05-30 10:57:09.292008+00
00bb4ecc-6242-4bed-b4d5-e90289aaa4cc,Hormone responsible for insect metamorphosis is:,"[""Juvenile hormone"",""Ecdysone"",""Growth hormone"",""None""]",1,Ecdysone triggers molting and metamorphosis.,Zoology,Endocrinology of Mammals,1,,1,0,[],,2026-06-01 06:36:40.276438+00,2026-06-01 06:36:40.276438+00
00ca00c4-3708-422d-ac7f-8d91145b30e5,"The oxidation states of phosphorus in H₃PO₂, H₃PO₃, and H₃PO₄ are respectively:","[""+1, +3, +5"",""+3, +5, +1"",""+5, +3, +1"",""+1, +5, +3""]",0,For H₃PO₂: 3(+1) + x + 2(-2) = 0 => x = +1. For H₃PO₃: 3(+1) + x + 3(-2) = 0 => x = +3. For H₃PO₄: 3(+1) + x + 4(-2) = 0 => x = +5.,CEE,Sets,6,,1,0,[],,2026-06-06 19:54:14.372879+00,2026-06-06 19:54:14.372879+00
00d91add-4494-436a-9069-80ef61654485,Which hormone promotes cell division in plants?,"[""A) Auxin"",""B) Cytokinin"",""C) Gibberellin"",""D) Ethylene""]",1,Cytokinins stimulate cell division and growth.,Botany,Sets,3,,1,0,[],,2026-06-04 18:24:10.204772+00,2026-06-04 18:24:10.204772+00
00f43602-a15a-4e7a-8361-5b425fe226b7,2. Crystals of Na2CO3·10H2O when exposed to air:,"[""A) Lose water and remain solid"",""B) Gain water and remain solid"",""C) Gain water and become liquid"",""D) Unchanged""]",0,Washing soda undergoes efflorescence and loses water of crystallization on exposure to air.,Chemistry,Periodic Table+Metals & Metallurgy+Hydrogen & its compounds +The Alkali Metals,1,,1,0,[],,2026-05-30 16:36:44.900123+00,2026-05-30 16:36:44.900123+00
011fb199-adff-4851-9bf3-a1b07d97e887,"In case of photo electric effect, the no. of electrons ejected per second from the given surface depends upon:","[""Frequency of incident radiation"",""Intensity of incident radiation"",""Wavelength of incident radiation"",""Time of exposure of surface""]",1,Photoelectric current depends on intensity of incident light.,Physics,Modern physics,1,,1,0,[],,2026-06-01 16:37:30.889396+00,2026-06-01 16:37:30.889396+00
0142a1c3-5e48-4be2-9ecf-24469f634c61,Null point is observed at the equatorial line of a bar magnet then the north pole of bar magnet must have faced:,"[""Geographical north pole"",""Geographical south pole"",""East"",""West""]",0,"For a null point on the equatorial line, the magnet's north pole must face geographical north.",Physics,Electricity and magnetism,2,,1,0,[],,2026-06-01 16:51:09.955905+00,2026-06-01 16:51:09.955905+00
0161d8c8-cfb4-494b-af22-7f8471c8e0a5,Ovary is absent in:,"[""Angiosperm"",""Gymnosperm"",""Monocot"",""Dicot""]",1,Gymnosperms lack ovaries and bear naked ovules.,Botany,Lichens+Bryophyta+ Pteridophyta+ Gymnosperms,1,,1,0,[],,2026-06-02 10:52:33.559421+00,2026-06-02 10:52:33.559421+00
018aa497-51a6-4002-bf20-798c606f555c,Which technique is used to produce a large number of plants with desirable traits from a small piece of plant tissue?,"[""Hybridization"",""Tissue culture (micropropagation)"",""Grafting"",""Cross-pollination""]",1,"Tissue culture (micropropagation): small explant (shoot tip, leaf, root) placed on sterile nutrient medium with plant hormones → callus (undifferentiated mass) → shoots and roots. Advantages: large scale production, virus-free plants, year-round production, preservation of endangered species. Used commercially for orchids, banana, potato, strawberry. Based on totipotency — each plant cell can develop into a whole plant.",ZOOLOGY,Sets,1,,1,0,[],,2026-06-02 18:09:17.092329+00,2026-06-02 18:09:17.092329+00
01a81beb-47b6-4cb9-bef0-60b6138d703d,The motion of a particle is given by x = A sinωt + B cosωt. The motion of the particle is:,"[""not simple harmonic"",""simple harmonic with amplitude A+B"",""simple harmonic with amplitude (A+B)/2"",""simple harmonic with amplitude √(A²+B²)""]",3,"It can be written as R sin(ωt+φ), where R = √(A²+B²).",Physics,Waves and sound,1,,1,0,[],,2026-06-01 16:55:04.878947+00,2026-06-01 16:55:04.878947+00
01aec39e-26e1-4ef7-8728-b7cea26569a8,"In an A.C. motor, capacitor is used:","[""To reduce ripples"",""To decrease A.C."",""To increase A.C."",""To decrease D.C.""]",2,Capacitor provides phase difference to start the motor.,Physics,Electrostatics,1,,1,0,[],,2026-06-02 04:23:12.641169+00,2026-06-02 04:23:12.641169+00
01b95020-0c0b-45dd-94ed-2e1f15463ef1,9. Which one has the highest percentage of nitrogen?,"[""A) CAN"",""B) Ammonium nitrate"",""C) Urea"",""D) Calcium nitrate""]",2,"Urea contains about 46% nitrogen, the highest among common fertilizers.",Chemistry,Inorganic,Set-2,,1,0,[],,2026-05-30 11:01:28.986174+00,2026-05-30 11:01:28.986174+00
01c51c0d-124f-4811-83a8-914a3664da0a,Anti-insulin hormone is:,"[""Calcitonin"",""Oxytocin"",""Cortisol"",""Aldosterone""]",2,Cortisol increases blood glucose.,Zoology,Endocrinology of Mammals,1,,1,0,[],,2026-06-01 06:36:40.276438+00,2026-06-01 06:36:40.276438+00
